Geo Point,PrimarySiteFunctionalLocation,Primary,PrimaryAlias,PrimarySubstationName,FirmCapacitySummer,FirmCapacityWinter,DemandHeadroom,DemandRAG,SeasonOfConstraint
"51.63542788121565, -0.17666505457789528",EPN-S0000000H8084,E62 WHETSTONE PRIMARY,0H8084,Whetstone Primary 11kV,19.2,20.6,38.35%,Green (Over 5% headroom),Winter
"51.95481179971718, -0.5685132834693558",EPN-S0000000H8086,A07 SUNDON 11KV,0H8086,Sundon Primary 11kV,28.8,38.4,66.32%,Green (Over 5% headroom),Summer
"51.75606718942169, -0.21400946144533556",EPN-S0000000H8089,J27 CHANTRY LN PRIMARY,0H8089,Chantry Ln Primary 11kV,14.4,17.3,40.97%,Green (Over 5% headroom),Summer
"51.596058633468246, -0.3053692376286421",EPN-S0000000H8097,E49 KENTON PRIMARY,0H8097,Kenton Primary 11kV,14.4,18.7,67.91%,Green (Over 5% headroom),Winter
"51.601160575415285, -0.4071824537558792",EPN-S0000000H8099,K55 PINNER GRN PRIMARY,0H8099,Pinner Grn Primary 11kV,13.7,17.4,40.8%,Green (Over 5% headroom),Winter
"51.60366990740353, -0.3394714524932406",EPN-S0000000H8105,K60 WEALDSTONE PRIMARY,0H8105,Wealdstone Primary 11kV,19.2,22.0,38.64%,Green (Over 5% headroom),Winter
"51.56778354077924, -0.19851901320855647",EPN-S0000000H8116,E46 GOLDERS GRN PRIMARY,0H8116,Golders Grn Primary 11kV,17.3,21.4,33.64%,Green (Over 5% headroom),Winter
"51.61377622071588, -0.3762833587464791",EPN-S0000000H8118,K56 HATCH END GRID,0H8118,Hatch End Primary 11kV,24.7,36.6,51.01%,Green (Over 5% headroom),Summer
"51.90230580087224, -0.48642492824019223",EPN-S0000000H8123,A17 LEWSEY PRIMARY,0H8123,Lewsey Primary 11kV,16.6,21.9,21.69%,Green (Over 5% headroom),Summer
"51.56722713171217, -0.29819010172746907",EPN-S0000000H8145,E45 NORTH WEMBLEY PRIMARY,0H8145,North Wembley Primary 11kV,17.3,21.4,48.55%,Green (Over 5% headroom),Summer
"51.6887975817879, -0.8195305641301096",EPN-S0000000H8146,F32 SAUNDERTON PRIMARY,0H8146,Saunderton Primary 11kV,14.4,14.6,55.48%,Green (Over 5% headroom),Winter
"51.73053824718259, -0.2881339008898868",EPN-S0000000H8154,J30 CELL BARNES PRIMARY,0H8154,Cell Barnes Primary 11kV,24.7,36.6,29.15%,Green (Over 5% headroom),Summer
"51.6585337956599, -0.2811382476273338",EPN-S0000000H8155,E42 ELSTREE PRIMARY,0H8155,Elstree Primary 11kV,27.6,37.4,44.65%,Green (Over 5% headroom),Winter
"51.84036433186737, -0.5302220050270251",EPN-S0000000H8159,A34 KENSWORTH PRIMARY,0H8159,Kensworth Primary 11kV,7.3,7.3,23.29%,Green (Over 5% headroom),Winter
"51.6660540953934, -0.24247076288557287",EPN-S0000000H8160,E56 ROWLEY LN PRIMARY,0H8160,Rowley Ln Primary 11kV,31.7,41.2,52.05%,Green (Over 5% headroom),Summer
"51.84777775725022, -0.22433316181710708",EPN-S0000000H8166,J22 OLD WELWYN PRIMARY,0H8166,Old Welwyn Primary 11kV,9.6,12.5,36.46%,Green (Over 5% headroom),Summer
"51.781508513292664, -0.4964466026051937",EPN-S0000000H8168,F03 ST PAULS PRIMARY,0H8168,St Pauls Primary 11kV,19.2,23.0,41.3%,Green (Over 5% headroom),Winter
"52.56780071953407, -0.24371488039331404",EPN-S0000000N6060,C07 PETERBOROUGH CENT 11,0N6060,Peterborough Central 11kV,28.8,34.1,34.02%,Green (Over 5% headroom),Winter
"51.529965323299976, -0.11056945122234285",LPN-S000000000112,CALSHOT ST 11KV,CALS,Calshot St 11kV,78.9,82.4,75.24%,Green (Over 5% headroom),Winter
"51.49546179412957, -0.22155416143422849",LPN-S000000000130,FULHAM PALACE RD C,FULC,Fulham Palace Rd C 11kV,140.2,147.8,38.5%,Green (Over 5% headroom),Winter
"51.497584124061376, -0.14360791542421997",LPN-S000000000195,VICTORIA ST 11KV,VICS,Victoria St 11kV,83.0,83.0,82.77%,Green (Over 5% headroom),Summer
"51.54722915499557, -0.14131727001201827",LPN-S000000000238,GEORGIANA ST 11KV,GEOR,Georgiana St 11kV,140.2,146.3,57.99%,Green (Over 5% headroom),Summer
"51.51350043881882, -0.11454942456244321",LPN-S000000000248,KINGSWAY 11KV,KWAY,Kingsway 11kV,41.0,55.6,13.41%,Green (Over 5% headroom),Summer
"51.55309897191207, -0.17707981745652146",LPN-S000000000252,LITHOS RD A,LITA,Lithos Rd A 11kV,42.3,56.7,6.35%,Green (Over 5% headroom),Winter
"51.515238576273426, -0.1240551942939809",LPN-S000000000283,SHORTS GDNS 11KV,SHOD,Shorts Gdns 11kV,27.6,35.9,13.77%,Green (Over 5% headroom),Summer
"51.526099022404544, -0.15924321610584166",LPN-S000000000301,ABERDEEN PL A 11KV,ABPA,Aberdeen Pl A 11kV,40.5,54.7,29.88%,Green (Over 5% headroom),Summer
"51.53202028511536, -0.16789791595295034",LPN-S000000000302,ABERDEEN PL B 11KV,ABPB,Aberdeen Pl B 11kV,27.9,30.9,1.62%,Yellow (Between 5% overloaded and 5% headroom),Winter
"51.524209786594675, -0.19663556929004958",LPN-S000000000309,AMBERLEY RD 11KV,AMBL,Amberley Rd 11kV,60.7,82.4,36.57%,Green (Over 5% headroom),Summer
"51.50628522068088, -0.14639098157759403",LPN-S000000000313,BLOOMFIELD PLACE 6.6KV,BLOP,Bloomfield Place 6.6kV,33.8,39.5,34.91%,Green (Over 5% headroom),Summer
"51.499353730352475, -0.18468412360939584",LPN-S000000000353,IMPERIAL COLLEGE 6.6KV,IMPC,Imperial College 6.6kV,28.2,35.5,38.65%,Green (Over 5% headroom),Summer
"51.511550625521444, -0.1971591166927999",LPN-S000000000369,MOSCOW RD 6.6KV,MOSW,Moscow Rd 6.6kV,33.1,39.9,41.85%,Green (Over 5% headroom),Winter
"51.54859342925355, -0.11649090389169157",LPN-S000000000457,HOLLOWAY 11KV,HOLW,Holloway 11kV,70.9,74.7,36.55%,Green (Over 5% headroom),Winter
"51.54103101245487, -0.07273517303719848",LPN-S000000000461,KING HENRYS WALK 11KV,KHWK,King Henry's Walk 11kV,41.4,56.7,41.06%,Green (Over 5% headroom),Summer
"51.51254188517844, -0.10367675042216841",LPN-S000000000463,LIMEBURNER LN 11KV,LIMA,Limeburner Ln 11kV,159.3,166.2,79.6%,Green (Over 5% headroom),Summer
"51.529869792684885, -0.06115545809127446",LPN-S000000000495,WHISTON RD,WHSR,Whiston Rd 11kV,42.3,46.1,-0.87%,Yellow (Between 5% overloaded and 5% headroom),Winter
"51.558245562706574, 0.09594697330358408",LPN-S000000000514,CLARKS RD B,CLAR,Clarks Rd B 11kV,42.8,56.7,20.09%,Green (Over 5% headroom),Summer
"51.63616748085963, 0.06029967450985776",LPN-S000000000523,EPPING NEW RD,EPPN,Epping New Rd 11kV,42.8,57.9,17.79%,Green (Over 5% headroom),Winter
"51.592958742570985, -0.006708073488211385",LPN-S000000000524,EXETER RD,EXET,Exeter Rd 11kV,42.3,57.3,31.44%,Green (Over 5% headroom),Summer
"51.57968058296395, 0.09225174554452524",LPN-S000000000556,LEY ST B,LEYB,Ley St B 11kV,44.6,57.9,33.86%,Green (Over 5% headroom),Summer
"51.56610249542843, -0.010214721892215431",LPN-S000000000593,WATERLOO RD,WATR,Waterloo Rd 11kV,43.6,57.3,9.42%,Green (Over 5% headroom),Winter
"51.53646602374264, 0.09373220630228585",LPN-S000000000606,AXE ST,AXES,Axe St 11kV,42.3,57.3,43.74%,Green (Over 5% headroom),Summer
"51.511684886437195, -0.032576930905430256",LPN-S000000000634,GLAUCUS ST,GLAU,Glaucus St 11kV,34.5,37.4,14.49%,Green (Over 5% headroom),Summer
"51.50180426981793, -0.022140028982068568",LPN-S000000000639,WESTFERRY CIRCUS,WFCS,West Ferry Circus 11kV,189.5,226.5,57.04%,Green (Over 5% headroom),Summer
"51.51397987374897, -0.007333948414545959",LPN-S000000000640,BLACKWALL WAY 11KV,BKWY,Blackwall Way 11kV,82.4,82.4,93.45%,Green (Over 5% headroom),Winter
"51.510888612516965, -0.06935032204098249",LPN-S000000000673,OSBORN ST B 11KV,OSBB,Osborn St B 11kV,159.3,166.2,81.95%,Green (Over 5% headroom),Winter
"51.510337370728614, 0.05587899522935258",LPN-S000000000684,SILVERTOWN B 11KV,SILB,Silvertown B 11kV,58.2,77.2,53.09%,Green (Over 5% headroom),Summer
"51.52010931755282, 0.022815515075319016",LPN-S000000000695,WEST HAM GRID 11KV,WH11,West Ham Grid 11kV,110.4,146.6,55.16%,Green (Over 5% headroom),Summer
"51.551535336528936, 0.03417325314764677",LPN-S000000000697,WOODGRANGE PARK,WDGR,Woodgrange Park 11kV,41.8,56.7,25.84%,Green (Over 5% headroom),Summer
"51.48660345851651, 0.17513775433179546",LPN-S000000000796,ERITH 11KV,EITH,Erith 11kV,22.3,23.5,58.72%,Green (Over 5% headroom),Winter
"51.42181763602654, 0.07149807415455436",LPN-S000000000816,CHISLEHURST,CHSL,Chislehurst 11kV,40.3,54.1,23.57%,Green (Over 5% headroom),Summer
"51.403937747456446, -0.03399632174046689",LPN-S000000000817,CHURCHFIELDS,CHUR,Churchfields 11kV,40.6,52.4,35.88%,Green (Over 5% headroom),Winter
"51.42956606376882, -0.04974386442417726",LPN-S000000000885,SYDENHAM PARK 11KV,SYDK,Sydenham Park 11kV,41.8,55.6,28.95%,Green (Over 5% headroom),Summer
"51.42833451370564, 0.005663803963742937",LPN-S000000000896,WINLATON RD,WINL,Winlaton Rd 11kV,41.6,54.3,26.15%,Green (Over 5% headroom),Winter
"51.46765438675527, -0.09181307644831996",LPN-S000000000907,BENGEWORTH RD 11KV,BENR,Bengeworth Rd 11kV,40.5,56.7,26.17%,Green (Over 5% headroom),Summer
"51.507399724360944, -0.095040389614742",LPN-S000000000916,BANKSIDE C 11KV,BANC,Bankside C 11kV,140.2,144.8,50%,Green (Over 5% headroom),Winter
"51.50378228090498, -0.11441604874027851",LPN-S000000000917,BANKSIDE D 20KV,BAND,Bankside D 20kV,101.2,105.6,41.1%,Green (Over 5% headroom),Winter
"51.496079908030424, -0.09242651694631202",LPN-S000000000965,NEWINGTON HOUSE B 11KV,NEWB,Newington House B 11kV,41.8,54.7,33.46%,Green (Over 5% headroom),Winter
"51.4548223499986, -0.0719150059924136",LPN-S000000000967,NORTH CROSS RD,NORX,North Cross Rd 11kV,27.9,38.2,39.78%,Green (Over 5% headroom),Summer
"51.48191309890799, -0.058105723129738454",LPN-S000000000988,VERNEY RD,VERR,Verney Rd 11kV,64.8,66.5,7.97%,Green (Over 5% headroom),Winter
"51.39551933249487, -0.2342121799585253",LPN-S000000001014,BURLINGTON RD,BURL,Burlington Rd 11kV,40.2,51.9,53.56%,Green (Over 5% headroom),Winter
"51.45377039744125, -0.23414199515847717",LPN-S000000001017,CARSLAKE RD,CARK,Carslake Rd 11kV,43.2,57.3,34.03%,Green (Over 5% headroom),Summer
"51.427776786245786, -0.20532220517253696",LPN-S000000001027,DURNSFORD RD,DURN,Durnsford Rd 11kV,42.8,49.6,27.82%,Green (Over 5% headroom),Winter
"51.470076279885944, -0.16317747629509477",LPN-S000000001040,LOMBARD RD B 11KV,LOMD,Lombard Rd B 11kV,72.0,92.6,31.11%,Green (Over 5% headroom),Summer
"51.4356920648271, -0.15999028671889123",LPN-S000000001086,TRINITY CRESCENT,TRIN,Trinity Crescent 11kV,43.6,57.3,25.92%,Green (Over 5% headroom),Summer
"51.54361673674018, -0.014000255520159884",LPN-S0000000L0645,KINGS YARD A 11KV,KGYA,Kings Yard A 11kV,82.6,82.6,75.67%,Green (Over 5% headroom),Winter
"51.35991218133862, -0.15103513306751248",SPN-S000000007306,AE7306 BRIDGES LANE 11KV,7306,Bridges Lane 11kV,29.1,33.5,37.91%,Green (Over 5% headroom),Winter
"50.94617752143035, -0.387228970352443",SPN-S000000008308,BI8308 ASHINGTON 11KV,8308,Ashington 11kV,14.9,19.5,37.95%,Green (Over 5% headroom),Winter
"51.23815680905701, -0.26699617811158705",SPN-S000000008316,DC8316 BETCHWORTH 11KV,8316,Betchworth 11kV,7.3,9.7,19.59%,Green (Over 5% headroom),Winter
"50.85386606647965, 0.48788658943525565",SPN-S000000008317,JH8317 BEXHILL TOWN 11KV,8317,Bexhill Town 11kV,18.3,22.2,31.98%,Green (Over 5% headroom),Winter
"51.075802576111904, 0.7901737064215563",SPN-S000000008319,LD8319 KENARDINGTON 6.6KV,8319,Kenardington 6.6kV,2.0,2.3,-52.17%,Red (More than 5% overloaded),Winter
"51.25621383705111, -0.574936786151431",SPN-S000000008321,MC8321 GUILDFORD 33/6.6KV,8321,Guildford 6.6kV,10.8,14.2,51.85%,Green (Over 5% headroom),Summer
"51.401728656903465, -0.4945102302383521",SPN-S000000008327,ME8327 CHERTSEY 11KV,8327,Chertsey 11kV,27.3,36.6,36.07%,Green (Over 5% headroom),Winter
"50.90595340978562, -0.004024348477458589",SPN-S000000008330,JF8330 LEWES TOWN 11KV,8330,Lewes Town 11kV,13.5,15.7,25.48%,Green (Over 5% headroom),Winter
"50.95572508100468, -0.1321578838905081",SPN-S000000008339,BD8339 BURGESS HILL 11KV,8339,Burgess Hill 11kV,18.4,22.0,25.91%,Green (Over 5% headroom),Winter
"50.81080084131617, 0.22148498885957835",SPN-S000000008340,JI8340 POLEGATE TOWN 11KV,8340,Polegate Town 11kV,16.0,22.4,51.79%,Green (Over 5% headroom),Winter
"51.296864222168225, 1.3213998304536982",SPN-S000000008342,CG8342 RICHBOROUGH 11KV,8342,Richborough 11kV,11.5,11.9,15.13%,Green (Over 5% headroom),Winter
"51.23355244561242, 0.9782936785738713",SPN-S000000008346,CB8560 CHARTHAM 11KV,8346,Caterham 11kV,19.8,22.8,14.91%,Green (Over 5% headroom),Winter
"51.276287732025516, -0.07170252194930188",SPN-S000000008346,AH8346 CATERHAM 11KV,8346,Caterham 11kV,19.8,22.8,14.91%,Green (Over 5% headroom),Winter
"51.45117810195792, -0.3538291067833761",SPN-S000000008352,HA8352 TWICKENHAM 11KV,8352,Twickenham 11kV,54.9,67.9,49.93%,Green (Over 5% headroom),Winter
"51.41184327561784, -0.09737261979302116",SPN-S000000008358,AF8358 BENSHAM GROVE 6.6KV,8358,Bensham Grove 6.6kV,17.1,22.4,55.56%,Green (Over 5% headroom),Summer
"51.11451020689537, 0.44198019686583134",SPN-S000000008360,JD8360 GOUDHURST 11KV,8360,Goudhurst 11kV,9.7,13.0,50%,Green (Over 5% headroom),Winter
"51.07761983017794, 0.6752981423691085",SPN-S000000008376,LD8376 TENTERDEN 6.6KV,8376,Tenterden 6.6kV,8.7,11.4,20.18%,Green (Over 5% headroom),Winter
"50.99855036415412, -0.2357763310484159",SPN-S000000008380,BA8380 COWFOLD 11KV,8380,Cowfold 11kV,9.7,12.6,30.95%,Green (Over 5% headroom),Winter
"51.13745373404657, -0.5040510148125675",SPN-S000000008382,BF8382 CRANLEIGH 11KV,8382,Cranleigh 11kV,16.7,22.0,9.09%,Green (Over 5% headroom),Winter
"51.13405949352234, -0.21534963388137196",SPN-S000000008384,BJ8384 CRAWLEY INDUSTRIAL WEST 11KV,8384,Crawley Industrial West 11kV,18.4,22.0,38.18%,Green (Over 5% headroom),Winter
"51.035650844414015, 0.09293532350288994",SPN-S000000008390,JH8390 DWS 6.6KV,8390,D.W.S. 6.6kV,0.4,0.6,-200%,Red (More than 5% overloaded),Winter
"51.14861395696532, -0.010752316192083384",SPN-S000000008396,KC8396 EAST GRINSTEAD 11KV,8396,East Grinstead 11kV,37.6,44.1,23.81%,Green (Over 5% headroom),Winter
"51.329089139797645, -0.26992371659630093",SPN-S000000008398,DA8398 EPSOM 11KV,8398,Epsom 11kV,17.1,22.6,18.58%,Green (Over 5% headroom),Winter
"51.37190221475959, -0.36048435350487773",SPN-S000000008399,DA8399 ESHER 11KV,8399,Esher 11kV,38.8,47.5,23.58%,Green (Over 5% headroom),Winter
"51.35349210833071, -0.24340872364226607",SPN-S000000008400,DA8400 EWELL 11KV,8400,Ewell 11kV,39.2,45.3,28.04%,Green (Over 5% headroom),Winter
"51.36596107006695, 0.24177122000239254",SPN-S000000008403,KB8403 FARNINGHAM 11KV,8403,Farningham 11kV,17.2,22.9,14.41%,Green (Over 5% headroom),Winter
"51.09059186586206, 0.05953002796194068",SPN-S000000008407,BJ8407 FOREST ROW 11KV,8407,Forest Row 11kV,9.5,12.7,38.58%,Green (Over 5% headroom),Winter
"51.422727589993634, -0.3767381062001774",SPN-S000000008412,DB8412 HAMPTON 11KV,8412,Hampton 11kV,19.6,22.7,30.84%,Green (Over 5% headroom),Winter
"51.392198852383224, 0.9242254155833417",SPN-S000000008427,CH8427 LEYSDOWN 6.6KV,8427,Leysdown 6.6kV,1.9,2.3,4.35%,Yellow (Between 5% overloaded and 5% headroom),Winter
"50.85418014237969, -0.005447235052561799",SPN-S000000008430,JF8430 LEWES CENTRAL 11KV,8430,Lewes Central 11kV,9.3,12.7,-12.9%,Red (More than 5% overloaded),Summer
"50.82011559013928, -0.5485807718033794",SPN-S000000008431,BK8431 LITTLEHAMPTON 11KV,8431,Littlehampton 11kV,26.1,27.4,26.64%,Green (Over 5% headroom),Winter
"50.98307354882976, 0.00390232649821123",SPN-S000000008439,JF8439 NEWICK 11KV,8439,Newick 11kV,11.0,14.8,42.73%,Green (Over 5% headroom),Summer
"51.311321869922466, 0.7106308113266344",SPN-S000000008444,CH8444 SITTINGBOURNE WEST 11KV,8444,Sittingbourne West 11kV,32.4,44.4,40.43%,Green (Over 5% headroom),Summer
"50.98040323626117, 0.6019558381017515",SPN-S000000008446,JD8446 NORTHIAM 11KV,8446,Northiam 11kV,4.6,5.8,19.57%,Green (Over 5% headroom),Summer
"51.28321439215531, 0.21231044723990036",SPN-S000000008447,KB8447 NORTH SEVENOAKS,8447,North Sevenoaks 11kV,37.6,44.9,49.89%,Green (Over 5% headroom),Winter
"50.78220141248692, 0.25435516972176647",SPN-S000000008452,JC8452 OCKLYNGE 11KV,8452,Ocklynge 11kV,19.2,22.7,47.14%,Green (Over 5% headroom),Winter
"51.17673909722389, 0.38971573298956874",SPN-S000000008454,KE8454 PADDOCK WOOD 11KV,8454,Paddock Wood 11kV,16.7,22.3,33.18%,Green (Over 5% headroom),Winter
"50.83119530744504, -0.1209142086595818",SPN-S000000008461,BB8461 QUEENS PARK 11KV,8461,Queens Park 11kV,19.0,22.5,24.44%,Green (Over 5% headroom),Winter
"51.36513273777944, 0.6386840275311517",SPN-S000000008462,CH8462 RAINHAM 11KV,8462,Rainham 11kV,17.1,21.4,5.61%,Green (Over 5% headroom),Winter
"51.335589111983104, 1.386949835095542",SPN-S000000008463,CI8463 RAMSGATE 11KV,8463,Ramsgate 11kV,19.2,22.4,12.5%,Green (Over 5% headroom),Winter
"51.4758779857425, -0.29625391773438625",SPN-S000000008466,HA8466 RICHMOND 11KV,8466,Richmond 11kV,28.2,37.1,36.66%,Green (Over 5% headroom),Winter
"51.41538076242605, 0.1292926909830963",SPN-S000000008475,IA8475 RUXLEY 11KV,8475,,,,,,
"51.378616709823014, -0.18947031115227236",SPN-S000000008477,AI8477 ST HELIER 11KV,8477,St Helier 11kV,18.4,22.5,8.44%,Green (Over 5% headroom),Winter
"50.84643487528193, -0.34545447759937403",SPN-S000000008487,BK8487 SOMPTING 11KV,8487,Sompting 11kV,13.2,17.1,40.15%,Green (Over 5% headroom),Summer
"50.82766507484648, -0.1742854783688346",SPN-S000000008488,BC8488 SOUTH HOVE,8488,South Hove 11kV,19.0,21.7,22.58%,Green (Over 5% headroom),Winter
"51.14934712582317, 0.5473481636294317",SPN-S000000008493,JD8493 STAPLEHURST 6.6KV,8493,Staplehurst 6.6kV,4.6,6.2,15.22%,Green (Over 5% headroom),Summer
"51.313082211583136, -0.3416469814065974",SPN-S000000008495,DC8495 C.E.R.L 11KV,8495,C.E.R.L. 11kV,9.2,12.5,8.7%,Green (Over 5% headroom),Summer
"51.05172309431049, 0.39588616952337247",SPN-S000000008500,JH8500 TICEHURST 11KV,8500,Ticehurst 11kV,12.6,14.2,60.56%,Green (Over 5% headroom),Winter
"51.04313259217732, 0.8521734476870285",SPN-S000000008507,LD8507 WAREHORNE 11KV,8507,Warehorne 11kV,2.4,4.0,-25%,Red (More than 5% overloaded),Summer
"51.366933158858195, 0.5208632476365671",SPN-S000000008508,GC8508 CHATHAM WEST 11KV,8508,Chatham West 11kV,31.4,34.2,4.39%,Yellow (Between 5% overloaded and 5% headroom),Winter
"51.358915731263195, -0.11350710554225135",SPN-S000000008509,AH8509 WEST CROYDON 11KV,8509,West Croydon 11kV,18.2,22.3,45.29%,Green (Over 5% headroom),Winter
"51.35971040025748, 1.284521674909773",SPN-S000000008510,CI8510 WESTGATE 11KV,8510,Westgate 11kV,19.4,22.2,21.17%,Green (Over 5% headroom),Winter
"51.457199237346416, 0.3164353035548942",SPN-S000000008511,KD8511 GRAVESEND WEST 11KV,8511,Gravesend West 11kV,16.6,18.2,34.34%,Green (Over 5% headroom),Summer
"51.33886534121924, 1.02490494007228",SPN-S000000008516,CD8516 WHITSTABLE 11KV,8516,Whitstable 11kV,28.2,32.6,43.87%,Green (Over 5% headroom),Winter
"50.82643081089065, 0.3346630193395896",SPN-S000000008520,JC8520 PEVENSEY BAY 11KV,8520,Pevensey Bay 11kV,11.0,14.4,44.55%,Green (Over 5% headroom),Summer
"51.26035619661209, -0.6132192725914467",SPN-S000000008521,MC8621 GUILDFORD B 11KV,8521,Guildford 'B' 11kV,17.3,22.0,5.45%,Green (Over 5% headroom),Winter
"50.87948520282816, 0.2849063291983383",SPN-S000000008524,JF8524 HORSEBRIDGE 11KV,8524,Horsebridge 11kV,9.6,12.6,17.46%,Green (Over 5% headroom),Winter
"51.398797694574256, 0.17215332878810558",SPN-S000000008528,KB8528 SWANLEY 11KV,8528,Swanley 11kV,17.1,22.6,26.9%,Green (Over 5% headroom),Summer
"51.15485678947337, -0.1296971453330334",SPN-S000000008532,BH8532 GATWICK AIRPORT (AF) 11KV,8532,Gatwick Airport AF 11kV,33.5,34.6,67.63%,Green (Over 5% headroom),Winter
"50.95614481288133, -0.16942536920713538",SPN-S000000008563,BD8563 GODDARDS GREEN 11KV,8563,Goddards Green 11kV,17.3,23.0,76.52%,Green (Over 5% headroom),Winter
"51.37542873179356, 0.7384465325852071",SPN-S000000008585,FA8585 GROVEHURST LOCAL 11KV,8585,,,,,,
"51.37647722984394, -0.09724105627596989",SPN-S000000008605,AG8605 CROYDON CENTRAL 11KV,8605,Croydon Central 11kV,29.7,39.6,75.76%,Green (Over 5% headroom),Summer
"51.20910092815804, 0.06542458174130286",SPN-S000000008614,KC8614 EDENBRIDGE 11KV,8614,Edenbridge 11kV,4.5,6.6,-13.64%,Red (More than 5% overloaded),Winter
"51.413560921685615, 0.35386201364608016",SPN-S000000008625,KD8625 GRAVESEND SOUTH 11KV,8625,Gravesend South 11kV,19.2,22.6,20.35%,Green (Over 5% headroom),Winter
"51.074791903075514, 0.15145293554707112",SPN-S000000008640,JH8640 CROWBOROUGH TOWN 6.6KV,8640,Crowborough Town 6.6kV,10.8,13.3,28.57%,Green (Over 5% headroom),Winter
"51.38300950405636, 0.5548040986314863",SPN-S000000008645,GA8645 CHATHAM HILL 11KV,8645,Chatham Hill 11kV,32.4,45.1,18.21%,Green (Over 5% headroom),Summer
"51.393409227904485, -0.0834234050091957",SPN-S000000008652,AB8652 SELHURST 6.6KV,8652,Selhurst 6.6kV,17.2,22.2,45.35%,Green (Over 5% headroom),Summer
"51.39933668871155, 0.3040041207514129",SPN-S000000008656,KD8656 LONGFIELD 11KV,8656,Longfield 11kV,17.1,23.0,56.96%,Green (Over 5% headroom),Winter
"51.10862635696854, 1.2139240733635739",SPN-S000000008660,LB8660 FOLKESTONE EAST 11KV,8660,Folkestone East 11kV,17.6,22.7,28.63%,Green (Over 5% headroom),Winter
"51.13853967527687, 0.2987893450530121",SPN-S000000009251,KI9251 TUNBRIDGE WELLS TOWN 6.6KV,9251,Tunbridge Wells Town 6.6kV,27.3,35.5,30.14%,Green (Over 5% headroom),Winter
"51.30721215612932, -0.4981548300348689",SPN-S000000009309,MA9309 BYFLEET 11KV,9309,Byfleet 11kV,28.8,36.6,38.8%,Green (Over 5% headroom),Winter
"50.78321403750108, 0.2997975567003963",SPN-S000000009318,JB9318 EASTBOURNE 11KV,9318,Eastbourne 11kV,28.8,36.6,33.33%,Green (Over 5% headroom),Winter
"51.440010718281634, 0.49090234057815246",SPN-S000000009348,GD9348 STROOD 11KV,9348,Strood 11kV,57.0,57.0,34.39%,Green (Over 5% headroom),Winter
"51.35927204907944, -0.5225642505347811",SPN-S000000009353,MD9353 WEST WEYBRIDGE 11KV,9353,West Weybridge 11kV,29.4,36.9,8.84%,Green (Over 5% headroom),Summer
"51.466292505620245, 0.22861388528600643",SPN-S000000009377,IC9377 LITTLEBROOK PARK 11KV,9377,Littlebrook Park 11kV,57.6,69.1,84.66%,Green (Over 5% headroom),Winter
"51.295477864540096, 0.5906629784400844",SPN-S000000009532,CF9532 MAIDSTONE 11KV,9532,Maidstone Grid North 11kV,28.8,37.0,46.18%,Green (Over 5% headroom),Summer
"51.77025647865518, 0.4474850111181619",EPN-S0000000F3002,A57 CHELMSFORD NORTH GRID,0F3002,Chelmsford North Grid 11kV,57.6,73.2,32.99%,Green (Over 5% headroom),Summer
"52.152646449342896, -0.38230725498914414",EPN-S0000000F4039,B64 EDISON RD GRID,0F4039,Edison Rd Grid 11kV,28.8,34.6,34.1%,Green (Over 5% headroom),Winter
"52.185899018602186, 0.2317771562942613",EPN-S0000000F4065,E14 FULBOURN GRID,0F4065,Fulbourn 11kV,28.8,36.6,40.97%,Green (Over 5% headroom),Summer
"52.34696695349578, -0.21567792653161152",EPN-S0000000F4068,B59 HUNTINGDON GRID,0F4068,Huntingdon Grid 11kV,57.6,73.2,40.62%,Green (Over 5% headroom),Summer
"51.59263051672393, -0.25487038832577485",EPN-S0000000F8073,E38 COLINDALE GRID,0F8073,Colindale Grid 11kV,57.6,69.1,47.9%,Green (Over 5% headroom),Winter
"51.611837289139345, -0.3136394146516241",EPN-S0000000F8081,K39 STANMORE GRID,0F8081,Stanmore Grid 11kV,28.8,36.6,32.51%,Green (Over 5% headroom),Winter
"52.543569240819245, 0.2462001344148113",EPN-S0000000G6069,G19 UPWELL LAKES END PRIMARY,0G6069,Upwell Lakes End Primary 11kV,2.1,3.1,4.76%,Yellow (Between 5% overloaded and 5% headroom),Summer
"52.066317778545766, 0.5956757362252987",EPN-S0000000H1011,B54 BELCHAMP GRID,0H1011,Belchamp Grid 11kV,7.2,9.6,48.96%,Green (Over 5% headroom),Winter
"52.209308359309624, 0.7533055892828202",EPN-S0000000H1012,B56 BURY GRID,0H1012,Bury Grid 11kV,27.4,36.5,39.78%,Green (Over 5% headroom),Summer
"52.128670335980416, 1.2724006843867401",EPN-S0000000H1017,D30 MANOR RD PRIMARY,0H1017,Manor Road Primary 11kV,11.0,14.4,23.64%,Green (Over 5% headroom),Summer
"52.17597772520857, 1.0204143784817863",EPN-S0000000H1018,B55 STOWMARKET GRID,0H1018,Stowmarket Grid 11kV,27.4,36.5,12.77%,Green (Over 5% headroom),Summer
"52.38267231146222, 0.5551531674299633",EPN-S0000000H1026,B34 LAKENHEATH PRIMARY,0H1026,Lakenheath Primary 11kV,14.0,17.8,17.14%,Green (Over 5% headroom),Summer
"52.207459630814206, 0.4016847452469532",EPN-S0000000H1028,E15 NEWMARKET PRIMARY,0H1028,Newmarket Primary 11kV,16.6,21.4,23.36%,Green (Over 5% headroom),Winter
